Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
1.68	0	-0.676282	0.0972281	0.00097246	0.00114352	-0.0035153
1.685	0	-0.680015	0.0920649	0.00116704	0.0018908	-0.00367848
1.69	0	-0.667085	0.133203	0.00125125	0.00248505	-0.0534261
1.695	0	-0.657318	0.0977473	0.00108044	0.00101126	-0.00507561
1.7	0	-0.656159	0.118204	0.00128978	0.00191323	0.0502626
1.705	0	-0.661773	0.106015	0.00137899	0.00153134	-0.0250843
1.71	0	-0.6501	0.0905162	0.000995613	0.00131598	0.0409248
1.715	0	-0.659997	0.113035	0.00120339	0.00203933	-0.0556302
1.72	0	-0.661855	0.117106	0.00129435	0.00142987	-0.0478555
1.725	0	-0.648774	0.107325	0.0010129	0.00121239	-0.0341006
1.73	0	-0.647517	0.107688	0.00114368	0.00126912	-0.00246364
1.735	0	-0.656735	0.103146	0.00103579	0.0018625	-0.00943785
1.74	0	-0.655577	0.113588	0.00118244	0.00155778	0.0151362
1.745	0	-0.65184	0.107894	0.000809072	0.00184617	-0.0451
1.75	0	-0.642053	0.106028	0.000925671	0.00160586	0.0375146
1.755	0	-0.643915	0.109052	0.000970497	0.00173083	0.031954
1.76	0	-0.644075	0.134916	0.00123992	0.00210851	-0.0320913
1.765	0	-0.643722	0.11507	0.00117536	0.00207615	-0.0344445
1.77	0	-0.639257	0.110255	0.00106441	0.00166644	0.0177042
1.775	0	-0.624006	0.113491	0.00100247	0.00167205	0.00533589
1.78	0	-0.636394	0.0940618	0.000865123	0.00145023	0.00393845
1.785	0	-0.630006	0.120346	0.000991738	0.00230195	0.0116832
1.79	0	-0.6246	0.0993008	0.000990952	0.00162472	-0.0303856
1.795	0	-0.625483	0.0959343	0.00102134	0.000876546	-0.013536
1.8	0	-0.62782	0.120637	0.000775179	0.00171358	0.0429369
1.805	0	-0.619555	0.116133	0.00100235	0.00156568	-0.000345199
1.81	0	-0.606366	0.110195	0.000901227	0.00158408	0.0234451
1.815	0	-0.613273	0.0870001	0.000832631	0.00118821	-0.00220393
1.82	0	-0.616561	0.104185	0.000929454	0.00188019	-0.00140449
1.825	0	-0.615611	0.0837026	0.00127701	0.00122129	-0.0162818
1.83	0	-0.608624	0.102537	0.00115949	0.00116277	0.0277478
1.835	0	-0.611764	0.11323	0.000959526	0.0014088	-0.0111869
1.84	0	-0.609963	0.0843943	0.000929124	0.00123191	-0.021143
1.845	0	-0.60488	0.111872	0.00131513	0.00169583	0.00671847
1.85	0	-0.606834	0.111767	0.00118867	0.0020278	0.00992158
1.855	0	-0.600387	0.0926796	0.000853672	0.00138627	0.0180813
1.86	0	-0.610627	0.0821557	0.000888265	0.00099674	-0.00349591
1.865	0	-0.59931	0.107801	0.000996409	0.00152588	0.00788364
1.87	0	-0.602943	0.086597	0.00102936	0.000849296	-0.00502425
