Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
2	0.1	-0.785658	0.119075	0.000829849	0.00127374	0.0874001
2	0.15	-0.818664	0.168728	0.000698523	0.00183479	0.152354
2	0.2	-0.838171	0.20908	0.00106574	0.00169897	0.199926
2	0.2	-0.862225	0.222994	0.00110479	0.00157945	0.215398
2	0.15	-0.819669	0.166989	0.00104186	0.00193574	0.151224
2	0.1	-0.806168	0.132195	0.00128747	0.00223946	0.099616
2	0.05	-0.785612	0.0982621	0.000753241	0.00153603	0.0424423
2	1.38778e-17	-0.801193	0.0873691	0.000785497	0.000971998	0.00932778
2	-0.05	-0.804319	0.103011	0.000811994	0.00157678	-0.0509508
2	-0.1	-0.842961	0.150509	0.000960954	0.00201554	-0.123019
2	-0.15	-0.868266	0.18576	0.00107402	0.00286193	-0.170335
2	-0.2	-0.871715	0.210154	0.00112149	0.00193315	-0.195129
3	-0.2	-0.570629	0.0980554	0.000321778	0.000685753	-0.0704617
3	-0.15	-0.559244	0.0837906	0.000369657	0.000579284	-0.0591951
3	-0.1	-0.569311	0.0741751	0.000359985	0.00041527	-0.0425237
3	-0.05	-0.559514	0.0694638	0.000330208	0.000480674	-0.0327664
3	-1.38778e-17	-0.554967	0.0602025	0.000295601	0.000325447	0.00313889
3	0.05	-0.562231	0.0646718	0.000299533	0.000448812	0.0336802
3	0.1	-0.557089	0.0789722	0.000280047	0.000525364	0.0547823
3	0.15	-0.560861	0.0850431	0.00032336	0.000693777	0.0656396
3	0.2	-0.567306	0.0931389	0.000394966	0.000665058	0.0783665
3	0.2	-0.575241	0.114312	0.000338461	0.000882927	0.0963995
3	0.15	-0.551879	0.091304	0.000367155	0.000574958	0.0651406
3	0.1	-0.546539	0.0749823	0.000350035	0.00040878	0.029311
3	0.05	-0.554898	0.0640629	0.000323616	0.00041834	0.00261915
3	1.38778e-17	-0.523205	0.064356	0.000288366	0.000385583	-0.000493338
3	-0.05	-0.543282	0.0664882	0.000303855	0.000407292	-0.0230141
3	-0.1	-0.545802	0.0727244	0.000287997	0.000489614	-0.038418
3	-0.15	-0.561297	0.095816	0.000369308	0.000674397	-0.0739389
3	-0.2	-0.564615	0.0999561	0.000327613	0.000612897	-0.0743219
5	-0.2	-0.408259	0.0622049	0.000101098	0.000239791	-0.0329428
5	-0.15	-0.409161	0.0593976	9.82094e-05	0.000194622	-0.0233353
